
j' [ʒ]
alphabétique [alfabetik]
alphabétisation [alfabetizasjô]
Alphonse [alfôs]
alpin [alpê]
alpinisme [alpinism]
alpiniste [alpinist]
Al-Qaïda [alkaida]
Alsace [alzas]
alsacien [alzasjê]
Alstom [alstɔm]
Altaï [altaj]
altérable [alteʁabl]
alter [altɛʁ]
altérant [alteʁâ]
altération [alteʁasjô]
altercation [altɛʁkasjô]
altérer [alteʁe]
altérité [alteʁite]
alternance [altɛʁnâs]
alternant [altɛʁnâ]
alternateur [altɛʁnatœʁ]
alternatif [altɛʁnatif]
alternativement [altɛʁnativmâ]
alterner [altɛʁne]
altesse [altɛs]
Althusser [altysɛʁ]
altier [altje]
altitude [altityd]
alto [alto]
altruisme [altʁɥism]
altruiste [altʁɥist]
alumine [alymin]
aluminer [alymine]
alumineux [alyminø]
aluminium [alyminjɔm]
alun [alê]
alvéolaire [alveɔlɛʁ]
alvéole [alveɔl]
Alyssa [alisa]
Alzheimer [alzajmɛʁ,alzajmœʁ]
amabilité [amabilite]
Amadeus [amadeus]
amadou [amadu]
amadouer [amadwe]
amaigrissement [amɛɡʁismâ]
amalgamation [amalɡamasjô]
amalgame [amalɡam]
amalgamer [amalɡame]
Amalthée [amalte]
Amanda [amâda]
Amand [amâ]
amande [amâd]
amandier [amâdje]
Amandine [amâdin]
amant [amâ]
amarrage [amaʁaʒ]
amarre [amaʁ]
amarrer [amaʁe]
amas [ama]
amasser [amase]
amateur [amatœʁ]
amateurisme [amatœʁism]
amaurose [amɔʁoz]
Amaury [amoʁi]
amazone [amazon]
Amazone [amazɔn]
Amazonie [amazɔni]
amazonien [amazɔnjê]
ambages [âbaʒ]
ambassade [âbasad]
ambassadeur [âbasadœʁ]
ambiance [âbjâs]
ambiancer [âbjâse]
ambiant [âbjâ]
ambigu [âbiɡy]
ambiguïté [âbiɡɥite]
ambitieux [âbisjø]
ambition [âbisjô]
ambitionner [âbisjɔne]
ambitus [âbitys]
ambivalence [âbivalâs]
ambivalent [âbivalâ]
Amblève [âblɛv]
amblyopie [âblijɔpi]
ambre [âbʁ]
Ambre [âbʁ]
Ambroise [âbʁwaz]
ambroisie [âbʁwazi]
ambulance [âbylâs]
ambulant [âbylâ]
ambulatoire [âbylatwaʁ]
âme [am]
Amédée [amede]
Amélie [ameli]
améliorant [ameljɔʁâ]
amélioration [ameljɔʁasjô]
améliorer [ameljɔʁe]
aménagement [amenaʒmâ]
aménager [amenaʒe]
aménageur [amenaʒœʁ]
amen [amɛn]
amende [amâd]
amendement [amâdmâ]
amender [amâde]
amener [amne]
aménité [amenite]
Aménophis [amenɔfis]
aménorrhée [amenɔʁe]
amenuisement [amənɥizmâ]
amenuiser [amənɥize]
amer [amɛʁ]
amèrement [amɛʁmâ]
américain [ameʁikê]
américanisation [ameʁikanizasjô]
américanisme [ameʁikanism]
amérindien [ameʁêdjê]
Amérique [ameʁik]
amertume [amɛʁtym]
améthyste [ametist]
ameublement [amœbləmâ]
ameublissement [amœblismâ]
ameuter [amøte]
amiable [amjabl]
amiablement [amjabləmâ]
ami [ami]
amiante [amjât]
amibe [amib]
amical [amikal]
amicalement [amikalmâ]
amide [amid]
amidon [amidô]
Amiens [amjê]
amincir [amêsiʁ]
amincissement [amêsismâ]
aminé [amine]
amiral [amiʁal]
amirauté [amiʁote]
amitié [amitje]
Amman [aman]
ammoniacal [amɔnjakal]
ammoniac [amɔnjak]
ammoniaque [amɔnjak]
ammonium [amɔnjɔm]
amnésie [amnezi]
amnésique [amnezik]
amnios [amnjos,amnjɔs]
amniotique [amnjɔtik]
amnistie [amnisti]
amnistier [amnistje]
amodiation [amɔdjasjô]
amoindrir [amwêdʁiʁ]
amoindrissement [amwêdʁismâ]
amollir [amɔliʁ]
amonceler [amôsle]
amoncellement [amôsɛlmâ]
amont [amô]
amoral [amɔʁal]
amoralisme [amɔʁalism]
amorçage [amɔʁsaʒ]
amorce [amɔʁs]
amorcer [amɔʁse]
amorphe [amɔʁf]
amorti [amɔʁti]
amortir [amɔʁtiʁ]
amortissable [amɔʁtisabl]
amortissement [amɔʁtismâ]
Amos [amos]
amour [amuʁ]
amoureusement [amuʁøzmâ]
amoureux [amuʁø]
amours [amuʁ]
amovible [amɔvibl]
ampèremètre [âpɛʁmɛtʁ]
ampère [âpɛʁ]
Ampère [âpɛʁ]
amphibie [âfibi]
amphibien [âfibjê]
amphibole [âfibɔl]
